ProfileID,ProfileID2,DateFavorited
44620AF79FB50713B199466988300E87779A0D3B,83AF9F4775ABF6CF101CA1F69784837F5FC54616,2018-01-1607:53:27.923000000
C8EC07E2AA60A7781E0C964CCE651BB8CA1749D1,F78B3AFBCA1D5553208A66E39723E55FED1E4EE3,2018-01-1608:52:21.350000000
C8EC07E2AA60A7781E0C964CCE651BB8CA1749D1,272AF77CA7FAE699C667E04F7E2ACBAD857C3A64,2018-01-1608:51:49.137000000
C8EC07E2AA60A7781E0C964CCE651BB8CA1749D1,6141AB8844CAA2E465E22AD59A6A68DBACE73DB5,2018-01-1608:52:13.820000000
C8EC07E2AA60A7781E0C964CCE651BB8CA1749D1,CE0782275107DC20AD930F84BFCBE059A4CFA0A4,2018-08-1103:27:39.303000000
02DC4E93A3EB84FE14100B7A6CDF20BA17D8062D,A19353DB7CFF87C9315C197B9DCB82AB524C7C26,2018-01-1608:00:25.710000000
6AADE401411B9B2590816F127FAE51B65CC08C09,3B98515149086F1D197763E8FBEBC9759C0017DE,2018-02-2219:52:14.187000000
6AADE401411B9B2590816F127FAE51B65CC08C09,911553CABEC347F834DAFA8EF93702D5CFA76712,2018-02-1705:32:50.737000000
6AADE401411B9B2590816F127FAE51B65CC08C09,0AF122CC02744B732469FD04317C2AA9DE985425,2018-02-1705:39:47.027000000
6AADE401411B9B2590816F127FAE51B65CC08C09,D7107EA240FE659ADF3C9FE023BB278053150615,2018-02-2219:53:11.427000000
6AADE401411B9B2590816F127FAE51B65CC08C09,7C3F9F4BCDFF68C0B29742661B608E596D07AD32,2018-02-2218:14:36.880000000
6AADE401411B9B2590816F127FAE51B65CC08C09,F40501215CCD196E1B071253FD39A7F684BC7696,2018-02-1705:35:57.843000000
6AADE401411B9B2590816F127FAE51B65CC08C09,A79AFBECF8FF77AF33DD03AC1947BFD6BD28EEB3,2018-01-1608:07:17.613000000
